"lat","lon","year","pop1","citystate","murder_per100k"
33.8675143,-117.9981181,1969,64700,"Buena Park CA",0
33.8675143,-117.9981181,2000,78282,"Buena Park CA",0
34.1808392,-118.3089661,1997,102318,"Burbank CA",0
34.1808392,-118.3089661,2010,103340,"Burbank CA",0
44.7677424,-93.2777226,1991,51955,"Burnsville MN",0
44.7677424,-93.2777226,2010,60306,"Burnsville MN",0
44.7677424,-93.2777226,2000,60220,"Burnsville MN",0
44.7677424,-93.2777226,1992,52517,"Burnsville MN",0
44.7677424,-93.2777226,1995,55599,"Burnsville MN",0
44.7677424,-93.2777226,1996,56177,"Burnsville MN",0
44.7677424,-93.2777226,1999,59963,"Burnsville MN",0
44.7677424,-93.2777226,1990,51288,"Burnsville MN",0
44.7677424,-93.2777226,2008,58974,"Burnsville MN",0
44.7677424,-93.2777226,2001,60867,"Burnsville MN",0
44.7677424,-93.2777226,1993,54331,"Burnsville MN",0
34.2163937,-119.0376023,2010,65201,"Camarillo CA",0
34.2163937,-119.0376023,2000,57077,"Camarillo CA",0
34.2163937,-119.0376023,1994,55762,"Camarillo CA",0
34.2163937,-119.0376023,1991,53392,"Camarillo CA",0
34.2163937,-119.0376023,2001,58138,"Camarillo CA",0
34.2163937,-119.0376023,1993,55372,"Camarillo CA",0
34.2163937,-119.0376023,1996,57540,"Camarillo CA",0
34.2163937,-119.0376023,2004,61142,"Camarillo CA",0
34.2163937,-119.0376023,2009,64011,"Camarillo CA",0
42.3736158,-71.1097335,2004,101320,"Cambridge MA",0
42.3736158,-71.1097335,2010,105162,"Cambridge MA",0
42.3736158,-71.1097335,1985,94513,"Cambridge MA",0
42.3736158,-71.1097335,2007,101161,"Cambridge MA",0
40.7989473,-81.378447,1999,79592,"Canton OH",0
40.7989473,-81.378447,2003,79873,"Canton OH",0
26.5628537,-81.9495331,1996,87690,"Cape Coral FL",0
26.5628537,-81.9495331,1988,54556,"Cape Coral FL",0
26.5628537,-81.9495331,1992,78178,"Cape Coral FL",0
33.1580933,-117.3505939,2010,105328,"Carlsbad CA",0
33.1580933,-117.3505939,1999,75827,"Carlsbad CA",0
39.978371,-86.1180435,2010,79191,"Carmel IN",0
39.978371,-86.1180435,2008,65982,"Carmel IN",0
39.978371,-86.1180435,2006,59635,"Carmel IN",0
39.978371,-86.1180435,2009,68424,"Carmel IN",0
39.978371,-86.1180435,2005,58519,"Carmel IN",0
33.8316745,-118.281693,1968,61125,"Carson CA",0
33.8316745,-118.281693,1970,71150,"Carson CA",0
33.8316745,-118.281693,1969,68506,"Carson CA",0
35.79154,-78.7811169,1996,62949,"Cary NC",0
35.79154,-78.7811169,2009,133304,"Cary NC",0
35.79154,-78.7811169,2006,108446,"Cary NC",0
35.79154,-78.7811169,1998,79477,"Cary NC",0
35.79154,-78.7811169,1993,52707,"Cary NC",0
35.79154,-78.7811169,2000,94536,"Cary NC",0
35.79154,-78.7811169,1999,83205,"Cary NC",0
35.79154,-78.7811169,1997,63825,"Cary NC",0
35.79154,-78.7811169,2002,97697,"Cary NC",0
42.866632,-106.313081,2006,52318,"Casper WY",0
30.505198,-97.8202888,2007,55973,"Cedar Park TX",0
30.505198,-97.8202888,2008,62485,"Cedar Park TX",0
41.9778795,-91.6656232,2004,122974,"Cedar Rapids IA",0
41.9778795,-91.6656232,1991,109465,"Cedar Rapids IA",0
