"lat","long","year","pop1","citystate","rape_per100k"
41.84,-87.76,1972,67409,"Cicero IL",0
41.84,-87.76,2006,83186,"Cicero IL",0
41.84,-87.76,1967,74924,"Cicero IL",0
41.84,-87.76,1993,72121,"Cicero IL",0
41.84,-87.76,1997,75739,"Cicero IL",0
41.84,-87.76,1992,68616,"Cicero IL",0
41.84,-87.76,1965,70800,"Cicero IL",0
41.84,-87.76,2008,80428,"Cicero IL",0
41.84,-87.76,2007,81311,"Cicero IL",0
41.84,-87.76,1989,61892,"Cicero IL",0
41.84,-87.76,1995,75319,"Cicero IL",0
41.84,-87.76,1991,68098,"Cicero IL",0
41.84,-87.76,2003,84608,"Cicero IL",0
41.84,-87.76,1994,72459,"Cicero IL",0
41.84,-87.76,2001,86050,"Cicero IL",0
41.84,-87.76,2004,83423,"Cicero IL",0
39.14,-84.51,1998,344828,"Cincinnati OH",0
39.14,-84.51,1997,360875,"Cincinnati OH",0
27.98,-82.77,1988,101397,"Clearwater FL",0
41.51,-81.56,2002,50258,"Cleveland Heights OH",0
41.51,-81.56,1963,63814,"Cleveland Heights OH",0
41.51,-81.56,1998,53995,"Cleveland Heights OH",0
41.51,-81.56,1995,51704,"Cleveland Heights OH",0
41.51,-81.56,1992,54892,"Cleveland Heights OH",0
41.51,-81.56,1997,51865,"Cleveland Heights OH",0
40.86,-74.16,1966,93687,"Clifton NJ",0
40.86,-74.16,1961,82084,"Clifton NJ",0
45.17,-93.31,2006,62834,"Coon Rapids MN",0
45.17,-93.31,2008,61776,"Coon Rapids MN",0
45.17,-93.31,1993,60602,"Coon Rapids MN",0
45.17,-93.31,2007,62299,"Coon Rapids MN",0
45.17,-93.31,2003,62821,"Coon Rapids MN",0
26.27,-80.26,1988,63338,"Coral Springs FL",0
26.27,-80.26,1996,95579,"Coral Springs FL",0
41.24,-95.86,1992,55003,"Council Bluffs IA",0
41.24,-95.86,1994,55392,"Council Bluffs IA",0
41.24,-95.86,1997,55295,"Council Bluffs IA",0
41.24,-95.86,1993,55099,"Council Bluffs IA",0
41.24,-95.86,1995,55102,"Council Bluffs IA",0
41.24,-95.86,1996,55295,"Council Bluffs IA",0
41.24,-95.86,1991,54671,"Council Bluffs IA",0
41.77,-71.48,1968,72500,"Cranston RI",0
41.77,-71.48,1961,66766,"Cranston RI",0
41.77,-71.48,1965,71000,"Cranston RI",0
37.31,-122.05,2006,52641,"Cupertino CA",0
37.31,-122.05,2005,51746,"Cupertino CA",0
41.17,-81.52,1967,53000,"Cuyahoga Falls OH",0
41.17,-81.52,1997,56127,"Cuyahoga Falls OH",0
41.17,-81.52,1964,51233,"Cuyahoga Falls OH",0
37.69,-122.47,1964,56632,"Daly City CA",0
41.4,-73.47,1970,50781,"Danbury CT",0
41.56,-90.6,1991,95959,"Davenport IA",0
26.08,-80.29,1996,59150,"Davie FL",0
29.19,-81.05,1988,61805,"Daytona Beach FL",0
42.33,-83.27,1993,59798,"Dearborn Heights MI",0
42.33,-83.27,1985,64509,"Dearborn Heights MI",0
42.31,-83.21,1993,88707,"Dearborn MI",0
34.57,-86.99,2001,54055,"Decatur AL",0
34.57,-86.99,2000,53846,"Decatur AL",0
39.85,-88.93,1962,77683,"Decatur IL",0
39.85,-88.93,2007,76383,"Decatur IL",0
39.85,-88.93,2004,79662,"Decatur IL",0
39.85,-88.93,1995,83656,"Decatur IL",0
39.85,-88.93,2001,82275,"Decatur IL",0
39.85,-88.93,2009,75651,"Decatur IL",0
39.85,-88.93,1990,83885,"Decatur IL",0
39.85,-88.93,1991,84709,"Decatur IL",0
39.85,-88.93,1992,85354,"Decatur IL",0
39.85,-88.93,2006,78254,"Decatur IL",0
39.85,-88.93,1986,92178,"Decatur IL",0
39.85,-88.93,1987,90624,"Decatur IL",0
39.85,-88.93,1993,84882,"Decatur IL",0
39.85,-88.93,1999,80523,"Decatur IL",0
39.85,-88.93,2005,79059,"Decatur IL",0
39.85,-88.93,1994,85280,"Decatur IL",0
39.85,-88.93,2003,80177,"Decatur IL",0
39.85,-88.93,1998,81641,"Decatur IL",0
39.85,-88.93,2008,76044,"Decatur IL",0
39.85,-88.93,1997,84122,"Decatur IL",0
39.85,-88.93,1989,88538,"Decatur IL",0
39.85,-88.93,1996,83776,"Decatur IL",0
39.85,-88.93,1988,88564,"Decatur IL",0
39.85,-88.93,2000,81860,"Decatur IL",0
39.85,-88.93,2002,83055,"Decatur IL",0
26.45,-80.09,1996,52660,"Delray Beach FL",0
41.58,-93.62,1991,194570,"Des Moines IA",0
42.03,-87.9,2005,56449,"Des Plaines IL",0
42.03,-87.9,1992,54155,"Des Plaines IL",0
42.03,-87.9,1966,51000,"Des Plaines IL",0
42.03,-87.9,1995,53247,"Des Plaines IL",0
42.03,-87.9,2009,57061,"Des Plaines IL",0
42.03,-87.9,2002,59577,"Des Plaines IL",0
42.03,-87.9,2008,56999,"Des Plaines IL",0
